index,s,liq_amount,S,q,funding_rate,time,day,month,hour,minute,year,second
0,FLOWUSDT,27614.7658,BUY,8,-0.102,2023-01-03 13:55:11.698439+05:30,3,1,13,55,2023,11
1,SANDUSDT,45795.43463,SELL,10,0.01,2023-01-06 09:55:06.536440+05:30,6,1,9,55,2023,6
2,TRXUSDT,30737.84939,SELL,34,-0.2832,2023-01-06 09:58:14.507962+05:30,6,1,9,58,2023,14
4,ETCUSDT,32265.32094,SELL,27,0.01,2023-01-06 10:00:06.178722+05:30,6,1,10,0,2023,6
5,AVAXUSDT,30073.6539,SELL,13,0.01,2023-01-06 10:01:12.609903+05:30,6,1,10,1,2023,12
6,APEUSDT,31739.6451,SELL,15,-0.1127,2023-01-06 10:04:10.825722+05:30,6,1,10,4,2023,10
7,TRXUSDT,31399.46148,SELL,25,-0.2832,2023-01-06 10:27:44.253929+05:30,6,1,10,27,2023,44
8,ALPHAUSDT,41765.989100000006,SELL,16,0.01,2023-01-06 10:58:55.104253+05:30,6,1,10,58,2023,55
9,XRPUSDT,32158.56169,SELL,16,0.01,2023-01-06 11:53:38.446147+05:30,6,1,11,53,2023,38
11,MATICUSDT,30911.9602,SELL,35,0.01,2023-01-06 11:56:23.431522+05:30,6,1,11,56,2023,23
12,SANDUSDT,36370.34903,SELL,25,0.01,2023-01-06 11:57:05.218220+05:30,6,1,11,57,2023,5
13,TRXUSDT,33881.78206,SELL,25,-0.2832,2023-01-06 11:57:05.315440+05:30,6,1,11,57,2023,5
14,LINKUSDT,31102.99553,SELL,17,0.0026,2023-01-06 11:57:23.597312+05:30,6,1,11,57,2023,23
15,XRPUSDT,34031.62914999999,SELL,8,0.01,2023-01-06 11:57:52.315866+05:30,6,1,11,57,2023,52
18,XRPUSDT,35917.79195,SELL,14,0.01,2023-01-06 12:03:14.291160+05:30,6,1,12,3,2023,14
19,1000LUNCUSDT,30332.4665,SELL,42,0.0056,2023-01-06 12:03:20.677302+05:30,6,1,12,3,2023,20
20,NEARUSDT,32400.747,SELL,18,0.01,2023-01-06 12:03:22.186108+05:30,6,1,12,3,2023,22
