OpenTime,hour,minute,day,month,year,open,high,low,close,volume
2023-01-03 05:30:00,5,30,3,1,2023,0.1595,0.1595,0.158,0.1587,4950097.0
2023-01-03 05:31:00,5,31,3,1,2023,0.1587,0.1587,0.1581,0.1583,2373027.0
2023-01-03 05:32:00,5,32,3,1,2023,0.1583,0.1584,0.1572,0.1577,3830361.0
2023-01-03 05:33:00,5,33,3,1,2023,0.1578,0.1581,0.1574,0.1581,1569666.0
2023-01-03 05:34:00,5,34,3,1,2023,0.1581,0.1583,0.1579,0.1581,674996.0
2023-01-03 05:35:00,5,35,3,1,2023,0.158,0.1586,0.158,0.1586,1264245.0
2023-01-03 05:36:00,5,36,3,1,2023,0.1586,0.1589,0.1586,0.1587,1062391.0
2023-01-03 05:37:00,5,37,3,1,2023,0.1588,0.159,0.1586,0.1587,1231920.0
2023-01-03 05:38:00,5,38,3,1,2023,0.1587,0.1588,0.1585,0.1587,474926.0
2023-01-03 05:39:00,5,39,3,1,2023,0.1586,0.1591,0.1586,0.1588,1019531.0
2023-01-03 05:40:00,5,40,3,1,2023,0.1588,0.1592,0.1587,0.1591,845214.0
2023-01-03 05:41:00,5,41,3,1,2023,0.1591,0.1593,0.1589,0.159,660634.0
2023-01-03 05:42:00,5,42,3,1,2023,0.159,0.159,0.1586,0.1587,569598.0
2023-01-03 05:43:00,5,43,3,1,2023,0.1586,0.1588,0.1585,0.1588,410290.0
2023-01-03 05:44:00,5,44,3,1,2023,0.1588,0.1591,0.1587,0.159,499743.0
2023-01-03 05:45:00,5,45,3,1,2023,0.1591,0.1593,0.159,0.1592,563578.0
2023-01-03 05:46:00,5,46,3,1,2023,0.1591,0.1593,0.159,0.159,579246.0
2023-01-03 05:47:00,5,47,3,1,2023,0.159,0.1591,0.1587,0.1588,413703.0
2023-01-03 05:48:00,5,48,3,1,2023,0.1587,0.1592,0.1587,0.1591,507543.0
2023-01-03 05:49:00,5,49,3,1,2023,0.1591,0.1592,0.1589,0.159,416838.0
2023-01-03 05:50:00,5,50,3,1,2023,0.159,0.1591,0.1586,0.1588,388599.0
2023-01-03 05:51:00,5,51,3,1,2023,0.1588,0.1589,0.1584,0.1585,598277.0
2023-01-03 05:52:00,5,52,3,1,2023,0.1585,0.1586,0.1582,0.1583,976559.0
2023-01-03 05:53:00,5,53,3,1,2023,0.1584,0.1585,0.158,0.1583,855997.0
2023-01-03 05:54:00,5,54,3,1,2023,0.1584,0.1585,0.1582,0.1585,371779.0
2023-01-03 05:55:00,5,55,3,1,2023,0.1585,0.1586,0.1582,0.1585,739574.0
2023-01-03 05:56:00,5,56,3,1,2023,0.1585,0.1586,0.1584,0.1586,559888.0
2023-01-03 05:57:00,5,57,3,1,2023,0.1585,0.1588,0.1585,0.1586,266817.0
2023-01-03 05:58:00,5,58,3,1,2023,0.1586,0.1589,0.1585,0.1587,432576.0
2023-01-03 05:59:00,5,59,3,1,2023,0.1588,0.159,0.1588,0.1589,589213.0
2023-01-03 06:00:00,6,0,3,1,2023,0.1589,0.1594,0.1589,0.1594,1024296.0
2023-01-03 06:01:00,6,1,3,1,2023,0.1595,0.16,0.1594,0.1597,2094187.0
2023-01-03 06:02:00,6,2,3,1,2023,0.1597,0.16,0.1596,0.16,436426.0
2023-01-03 06:03:00,6,3,3,1,2023,0.16,0.1607,0.1599,0.1605,1547848.0
2023-01-03 06:04:00,6,4,3,1,2023,0.1605,0.1605,0.1602,0.1604,1067386.0
2023-01-03 06:05:00,6,5,3,1,2023,0.1605,0.1607,0.1602,0.1604,1198755.0
2023-01-03 06:06:00,6,6,3,1,2023,0.1604,0.1604,0.1599,0.1603,631552.0
2023-01-03 06:07:00,6,7,3,1,2023,0.1603,0.1608,0.1602,0.1608,779980.0
2023-01-03 06:08:00,6,8,3,1,2023,0.1608,0.1608,0.1604,0.1607,499799.0
2023-01-03 06:09:00,6,9,3,1,2023,0.1607,0.1607,0.1603,0.1603,275198.0
2023-01-03 06:10:00,6,10,3,1,2023,0.1603,0.161,0.1603,0.1608,1322387.0
2023-01-03 06:11:00,6,11,3,1,2023,0.1607,0.1609,0.1606,0.1609,912495.0
2023-01-03 06:12:00,6,12,3,1,2023,0.1609,0.161,0.1606,0.1609,1034455.0
2023-01-03 06:13:00,6,13,3,1,2023,0.1609,0.161,0.1606,0.1608,592649.0
2023-01-03 06:14:00,6,14,3,1,2023,0.1607,0.1608,0.1604,0.1606,1005957.0
2023-01-03 06:15:00,6,15,3,1,2023,0.1605,0.1608,0.1604,0.1606,742582.0
2023-01-03 06:16:00,6,16,3,1,2023,0.1607,0.1609,0.1605,0.1606,657274.0
