OpenTime,hour,minute,day,month,year,open,high,low,close,volume
2023-01-03 05:30:00,5,30,3,1,2023,9.812,9.815,9.798,9.799,10406.42
2023-01-03 05:31:00,5,31,3,1,2023,9.799,9.805,9.781,9.781,13999.6
2023-01-03 05:32:00,5,32,3,1,2023,9.781,9.798,9.78,9.798,17278.47
2023-01-03 05:33:00,5,33,3,1,2023,9.797,9.801,9.794,9.798,9668.41
2023-01-03 05:34:00,5,34,3,1,2023,9.8,9.808,9.798,9.805,4710.2
2023-01-03 05:35:00,5,35,3,1,2023,9.805,9.816,9.802,9.81,10143.48
2023-01-03 05:36:00,5,36,3,1,2023,9.81,9.812,9.807,9.811,4741.26
2023-01-03 05:37:00,5,37,3,1,2023,9.811,9.812,9.807,9.812,6890.19
2023-01-03 05:38:00,5,38,3,1,2023,9.812,9.816,9.806,9.816,5135.31
2023-01-03 05:39:00,5,39,3,1,2023,9.815,9.818,9.813,9.816,5643.2
2023-01-03 05:40:00,5,40,3,1,2023,9.816,9.829,9.815,9.826,10221.36
2023-01-03 05:41:00,5,41,3,1,2023,9.826,9.826,9.818,9.825,4488.33
2023-01-03 05:42:00,5,42,3,1,2023,9.825,9.834,9.819,9.821,7363.55
2023-01-03 05:43:00,5,43,3,1,2023,9.822,9.823,9.817,9.817,1801.89
2023-01-03 05:44:00,5,44,3,1,2023,9.817,9.821,9.815,9.819,3342.4
2023-01-03 05:45:00,5,45,3,1,2023,9.82,9.82,9.816,9.817,3982.4
2023-01-03 05:46:00,5,46,3,1,2023,9.817,9.819,9.817,9.818,809.77
2023-01-03 05:47:00,5,47,3,1,2023,9.819,9.819,9.817,9.818,1376.53
2023-01-03 05:48:00,5,48,3,1,2023,9.818,9.825,9.817,9.823,2220.54
2023-01-03 05:49:00,5,49,3,1,2023,9.822,9.826,9.82,9.824,3955.5
2023-01-03 05:50:00,5,50,3,1,2023,9.824,9.828,9.823,9.823,3298.92
2023-01-03 05:51:00,5,51,3,1,2023,9.824,9.827,9.823,9.823,875.4
2023-01-03 05:52:00,5,52,3,1,2023,9.822,9.823,9.816,9.818,3393.72
2023-01-03 05:53:00,5,53,3,1,2023,9.817,9.819,9.805,9.807,4577.19
2023-01-03 05:54:00,5,54,3,1,2023,9.807,9.811,9.807,9.809,279.44
2023-01-03 05:55:00,5,55,3,1,2023,9.808,9.808,9.805,9.805,872.41
2023-01-03 05:56:00,5,56,3,1,2023,9.804,9.805,9.8,9.802,5597.74
2023-01-03 05:57:00,5,57,3,1,2023,9.801,9.802,9.799,9.801,980.1
2023-01-03 05:58:00,5,58,3,1,2023,9.801,9.803,9.8,9.802,1109.53
2023-01-03 05:59:00,5,59,3,1,2023,9.803,9.806,9.8,9.805,1931.55
2023-01-03 06:00:00,6,0,3,1,2023,9.805,9.805,9.801,9.805,3064.74
2023-01-03 06:01:00,6,1,3,1,2023,9.806,9.811,9.805,9.808,1553.54
2023-01-03 06:02:00,6,2,3,1,2023,9.809,9.814,9.808,9.814,4663.37
2023-01-03 06:03:00,6,3,3,1,2023,9.813,9.83,9.813,9.829,3686.4
2023-01-03 06:04:00,6,4,3,1,2023,9.83,9.832,9.826,9.832,3161.48
2023-01-03 06:05:00,6,5,3,1,2023,9.831,9.834,9.829,9.832,3160.98
2023-01-03 06:06:00,6,6,3,1,2023,9.832,9.832,9.829,9.829,1600.37
2023-01-03 06:07:00,6,7,3,1,2023,9.83,9.839,9.829,9.839,3592.48
2023-01-03 06:08:00,6,8,3,1,2023,9.839,9.842,9.837,9.838,2451.02
2023-01-03 06:09:00,6,9,3,1,2023,9.838,9.843,9.838,9.841,4524.93
2023-01-03 06:10:00,6,10,3,1,2023,9.841,9.841,9.831,9.832,5582.87
2023-01-03 06:11:00,6,11,3,1,2023,9.833,9.836,9.832,9.836,1712.64
2023-01-03 06:12:00,6,12,3,1,2023,9.837,9.84,9.836,9.84,1287.37
2023-01-03 06:13:00,6,13,3,1,2023,9.84,9.842,9.84,9.841,911.06
2023-01-03 06:14:00,6,14,3,1,2023,9.841,9.843,9.839,9.843,3728.76
2023-01-03 06:15:00,6,15,3,1,2023,9.842,9.844,9.838,9.838,3832.02
2023-01-03 06:16:00,6,16,3,1,2023,9.839,9.843,9.838,9.841,2017.97
2023-01-03 06:17:00,6,17,3,1,2023,9.841,9.845,9.841,9.843,2919.51
2023-01-03 06:18:00,6,18,3,1,2023,9.843,9.848,9.842,9.846,2301.34
2023-01-03 06:19:00,6,19,3,1,2023,9.845,9.858,9.845,9.857,8783.11
2023-01-03 06:20:00,6,20,3,1,2023,9.856,9.859,9.849,9.851,6319.48
2023-01-03 06:21:00,6,21,3,1,2023,9.85,9.85,9.847,9.847,1923.93
2023-01-03 06:22:00,6,22,3,1,2023,9.848,9.85,9.842,9.848,3419.0
2023-01-03 06:23:00,6,23,3,1,2023,9.847,9.849,9.838,9.839,3525.6
2023-01-03 06:24:00,6,24,3,1,2023,9.839,9.841,9.837,9.837,3068.21
2023-01-03 06:25:00,6,25,3,1,2023,9.836,9.837,9.833,9.833,424.05
2023-01-03 06:26:00,6,26,3,1,2023,9.834,9.839,9.833,9.839,2321.05
2023-01-03 06:27:00,6,27,3,1,2023,9.839,9.848,9.838,9.848,2167.15
2023-01-03 06:28:00,6,28,3,1,2023,9.848,9.85,9.845,9.847,1865.59
2023-01-03 06:29:00,6,29,3,1,2023,9.847,9.848,9.839,9.84,3025.22
2023-01-03 06:30:00,6,30,3,1,2023,9.839,9.839,9.826,9.828,9467.53
2023-01-03 06:31:00,6,31,3,1,2023,9.828,9.829,9.824,9.824,671.9
2023-01-03 06:32:00,6,32,3,1,2023,9.825,9.825,9.822,9.825,2376.51
2023-01-03 06:33:00,6,33,3,1,2023,9.825,9.826,9.824,9.824,549.97
2023-01-03 06:34:00,6,34,3,1,2023,9.824,9.828,9.822,9.827,1615.97
2023-01-03 06:35:00,6,35,3,1,2023,9.827,9.828,9.823,9.823,1600.38
2023-01-03 06:36:00,6,36,3,1,2023,9.823,9.823,9.815,9.817,3408.81
2023-01-03 06:37:00,6,37,3,1,2023,9.817,9.818,9.813,9.814,1713.12
