OpenTime,hour,minute,day,month,year,open,high,low,close,volume
2023-01-03 05:30:00,5,30,3,1,2023,6.39,6.413,6.388,6.41,29331.0
2023-01-03 05:31:00,5,31,3,1,2023,6.409,6.415,6.398,6.398,22800.0
2023-01-03 05:32:00,5,32,3,1,2023,6.398,6.402,6.396,6.401,17446.0
2023-01-03 05:33:00,5,33,3,1,2023,6.4,6.4,6.393,6.394,11949.0
2023-01-03 05:34:00,5,34,3,1,2023,6.394,6.394,6.378,6.387,27904.0
2023-01-03 05:35:00,5,35,3,1,2023,6.386,6.387,6.379,6.384,17298.0
2023-01-03 05:36:00,5,36,3,1,2023,6.385,6.387,6.379,6.387,16389.0
2023-01-03 05:37:00,5,37,3,1,2023,6.386,6.388,6.378,6.386,12932.0
2023-01-03 05:38:00,5,38,3,1,2023,6.388,6.397,6.379,6.396,14173.0
2023-01-03 05:39:00,5,39,3,1,2023,6.395,6.399,6.394,6.399,4560.0
2023-01-03 05:40:00,5,40,3,1,2023,6.398,6.403,6.397,6.402,7865.0
2023-01-03 05:41:00,5,41,3,1,2023,6.402,6.402,6.396,6.398,7343.0
2023-01-03 05:42:00,5,42,3,1,2023,6.398,6.404,6.396,6.4,5364.0
2023-01-03 05:43:00,5,43,3,1,2023,6.4,6.403,6.397,6.398,2810.0
2023-01-03 05:44:00,5,44,3,1,2023,6.397,6.404,6.397,6.404,4697.0
2023-01-03 05:45:00,5,45,3,1,2023,6.404,6.405,6.401,6.403,4019.0
2023-01-03 05:46:00,5,46,3,1,2023,6.403,6.403,6.4,6.403,2362.0
2023-01-03 05:47:00,5,47,3,1,2023,6.402,6.405,6.401,6.405,2415.0
2023-01-03 05:48:00,5,48,3,1,2023,6.404,6.405,6.402,6.403,1854.0
2023-01-03 05:49:00,5,49,3,1,2023,6.403,6.405,6.401,6.401,1983.0
2023-01-03 05:50:00,5,50,3,1,2023,6.4,6.402,6.396,6.397,4286.0
2023-01-03 05:51:00,5,51,3,1,2023,6.397,6.398,6.39,6.394,7125.0
2023-01-03 05:52:00,5,52,3,1,2023,6.393,6.393,6.383,6.384,9600.0
2023-01-03 05:53:00,5,53,3,1,2023,6.383,6.387,6.376,6.386,20288.0
2023-01-03 05:54:00,5,54,3,1,2023,6.386,6.387,6.38,6.381,4082.0
2023-01-03 05:55:00,5,55,3,1,2023,6.382,6.383,6.377,6.379,7358.0
2023-01-03 05:56:00,5,56,3,1,2023,6.379,6.386,6.378,6.381,35261.0
2023-01-03 05:57:00,5,57,3,1,2023,6.38,6.38,6.375,6.376,3707.0
2023-01-03 05:58:00,5,58,3,1,2023,6.375,6.381,6.375,6.379,3223.0
2023-01-03 05:59:00,5,59,3,1,2023,6.378,6.38,6.376,6.379,3857.0
2023-01-03 06:00:00,6,0,3,1,2023,6.379,6.393,6.378,6.39,37243.0
2023-01-03 06:01:00,6,1,3,1,2023,6.39,6.402,6.386,6.402,23741.0
2023-01-03 06:02:00,6,2,3,1,2023,6.401,6.402,6.398,6.402,3499.0
2023-01-03 06:03:00,6,3,3,1,2023,6.402,6.412,6.401,6.411,9151.0
2023-01-03 06:04:00,6,4,3,1,2023,6.411,6.424,6.41,6.42,13478.0
2023-01-03 06:05:00,6,5,3,1,2023,6.42,6.433,6.42,6.433,19873.0
2023-01-03 06:06:00,6,6,3,1,2023,6.433,6.476,6.427,6.457,127544.0
2023-01-03 06:07:00,6,7,3,1,2023,6.457,6.519,6.448,6.488,254970.0
2023-01-03 06:08:00,6,8,3,1,2023,6.488,6.496,6.466,6.47,79469.0
2023-01-03 06:09:00,6,9,3,1,2023,6.469,6.473,6.462,6.464,43915.0
2023-01-03 06:10:00,6,10,3,1,2023,6.464,6.47,6.455,6.469,33755.0
2023-01-03 06:11:00,6,11,3,1,2023,6.469,6.474,6.459,6.472,23771.0
2023-01-03 06:12:00,6,12,3,1,2023,6.472,6.476,6.461,6.476,37101.0
2023-01-03 06:13:00,6,13,3,1,2023,6.475,6.484,6.472,6.473,24514.0
2023-01-03 06:14:00,6,14,3,1,2023,6.473,6.551,6.471,6.533,172395.0
2023-01-03 06:15:00,6,15,3,1,2023,6.533,6.534,6.492,6.499,118035.0
2023-01-03 06:16:00,6,16,3,1,2023,6.498,6.5,6.481,6.488,59623.0
2023-01-03 06:17:00,6,17,3,1,2023,6.488,6.492,6.483,6.483,18865.0
2023-01-03 06:18:00,6,18,3,1,2023,6.483,6.484,6.466,6.47,31324.0
2023-01-03 06:19:00,6,19,3,1,2023,6.47,6.471,6.464,6.466,16355.0
2023-01-03 06:20:00,6,20,3,1,2023,6.466,6.471,6.463,6.471,32742.0
2023-01-03 06:21:00,6,21,3,1,2023,6.472,6.499,6.471,6.495,46984.0
2023-01-03 06:22:00,6,22,3,1,2023,6.496,6.518,6.488,6.513,38823.0
2023-01-03 06:23:00,6,23,3,1,2023,6.513,6.516,6.481,6.483,39858.0
2023-01-03 06:24:00,6,24,3,1,2023,6.483,6.499,6.483,6.497,12928.0
2023-01-03 06:25:00,6,25,3,1,2023,6.496,6.509,6.492,6.508,44735.0
2023-01-03 06:26:00,6,26,3,1,2023,6.508,6.509,6.495,6.503,27852.0
2023-01-03 06:27:00,6,27,3,1,2023,6.504,6.546,6.504,6.543,97007.0
2023-01-03 06:28:00,6,28,3,1,2023,6.544,6.554,6.516,6.518,100637.0
2023-01-03 06:29:00,6,29,3,1,2023,6.518,6.519,6.508,6.513,30302.0
2023-01-03 06:30:00,6,30,3,1,2023,6.513,6.513,6.472,6.483,123330.0
2023-01-03 06:31:00,6,31,3,1,2023,6.483,6.486,6.461,6.464,65661.0
2023-01-03 06:32:00,6,32,3,1,2023,6.465,6.474,6.459,6.472,31122.0
