OpenTime,hour,minute,day,month,year,open,high,low,close,volume
2023-01-03 05:30:00,5,30,3,1,2023,16665.9,16666.0,16655.7,16659.6,623.241
2023-01-03 05:31:00,5,31,3,1,2023,16659.6,16663.0,16639.5,16652.4,1615.716
2023-01-03 05:32:00,5,32,3,1,2023,16652.4,16656.5,16650.4,16656.5,298.891
2023-01-03 05:33:00,5,33,3,1,2023,16656.5,16665.9,16654.3,16654.4,355.823
2023-01-03 05:34:00,5,34,3,1,2023,16654.4,16661.9,16654.3,16659.9,147.795
2023-01-03 05:35:00,5,35,3,1,2023,16659.9,16664.7,16659.1,16662.6,207.177
2023-01-03 05:36:00,5,36,3,1,2023,16662.6,16669.1,16662.5,16669.1,306.582
2023-01-03 05:37:00,5,37,3,1,2023,16669.1,16671.0,16669.0,16670.8,148.039
2023-01-03 05:38:00,5,38,3,1,2023,16670.9,16674.4,16669.9,16672.8,195.031
2023-01-03 05:39:00,5,39,3,1,2023,16672.8,16677.5,16672.7,16675.1,195.339
2023-01-03 05:40:00,5,40,3,1,2023,16675.0,16675.1,16672.9,16672.9,108.759
2023-01-03 05:41:00,5,41,3,1,2023,16672.9,16673.7,16670.7,16673.7,115.046
2023-01-03 05:42:00,5,42,3,1,2023,16673.6,16679.8,16673.6,16677.1,228.113
2023-01-03 05:43:00,5,43,3,1,2023,16677.2,16677.2,16674.2,16675.5,116.468
2023-01-03 05:44:00,5,44,3,1,2023,16675.6,16682.5,16675.5,16682.4,166.194
2023-01-03 05:45:00,5,45,3,1,2023,16682.4,16682.5,16680.7,16680.7,121.601
2023-01-03 05:46:00,5,46,3,1,2023,16680.7,16680.8,16679.7,16679.7,69.182
2023-01-03 05:47:00,5,47,3,1,2023,16679.8,16684.7,16678.7,16684.4,179.554
2023-01-03 05:48:00,5,48,3,1,2023,16684.4,16686.5,16684.3,16686.5,122.261
2023-01-03 05:49:00,5,49,3,1,2023,16686.5,16686.5,16683.3,16683.3,139.148
2023-01-03 05:50:00,5,50,3,1,2023,16683.3,16683.3,16681.6,16681.6,73.136
2023-01-03 05:51:00,5,51,3,1,2023,16681.6,16681.6,16681.2,16681.3,77.048
2023-01-03 05:52:00,5,52,3,1,2023,16681.2,16681.3,16678.0,16678.0,68.69
2023-01-03 05:53:00,5,53,3,1,2023,16678.1,16678.1,16671.0,16674.6,187.416
2023-01-03 05:54:00,5,54,3,1,2023,16674.6,16677.5,16674.5,16677.5,97.251
2023-01-03 05:55:00,5,55,3,1,2023,16677.5,16677.5,16676.3,16676.5,96.073
2023-01-03 05:56:00,5,56,3,1,2023,16676.5,16677.5,16676.4,16677.5,50.158
2023-01-03 05:57:00,5,57,3,1,2023,16677.5,16677.5,16677.4,16677.4,39.783
2023-01-03 05:58:00,5,58,3,1,2023,16677.4,16677.5,16677.4,16677.5,30.981
2023-01-03 05:59:00,5,59,3,1,2023,16677.5,16679.8,16676.1,16676.1,102.408
2023-01-03 06:00:00,6,0,3,1,2023,16676.1,16684.4,16675.1,16684.4,206.167
2023-01-03 06:01:00,6,1,3,1,2023,16684.4,16688.5,16684.4,16688.4,122.096
2023-01-03 06:02:00,6,2,3,1,2023,16688.5,16688.9,16687.4,16688.9,120.865
