OpenTime,hour,minute,day,month,year,open,high,low,close,volume
2023-01-03 05:30:00,5,30,3,1,2023,0.881,0.883,0.881,0.882,245289.1
2023-01-03 05:31:00,5,31,3,1,2023,0.882,0.882,0.88,0.881,192657.0
2023-01-03 05:32:00,5,32,3,1,2023,0.88,0.881,0.88,0.881,9625.3
2023-01-03 05:33:00,5,33,3,1,2023,0.881,0.881,0.88,0.88,19888.4
2023-01-03 05:34:00,5,34,3,1,2023,0.88,0.881,0.88,0.88,22073.0
2023-01-03 05:35:00,5,35,3,1,2023,0.88,0.881,0.88,0.88,35334.3
2023-01-03 05:36:00,5,36,3,1,2023,0.88,0.882,0.88,0.881,135317.5
2023-01-03 05:37:00,5,37,3,1,2023,0.88,0.882,0.88,0.881,230529.0
2023-01-03 05:38:00,5,38,3,1,2023,0.881,0.883,0.881,0.883,46797.3
2023-01-03 05:39:00,5,39,3,1,2023,0.882,0.882,0.881,0.881,116140.5
2023-01-03 05:40:00,5,40,3,1,2023,0.882,0.883,0.881,0.882,99309.8
2023-01-03 05:41:00,5,41,3,1,2023,0.882,0.883,0.881,0.882,93220.5
2023-01-03 05:42:00,5,42,3,1,2023,0.883,0.883,0.882,0.882,106518.4
2023-01-03 05:43:00,5,43,3,1,2023,0.883,0.883,0.881,0.882,160654.1
2023-01-03 05:44:00,5,44,3,1,2023,0.882,0.883,0.882,0.882,2276.3
2023-01-03 05:45:00,5,45,3,1,2023,0.882,0.883,0.882,0.883,13422.4
2023-01-03 05:46:00,5,46,3,1,2023,0.882,0.883,0.882,0.882,2739.2
2023-01-03 05:47:00,5,47,3,1,2023,0.882,0.883,0.882,0.882,3263.9
2023-01-03 05:48:00,5,48,3,1,2023,0.882,0.883,0.882,0.883,2826.6
2023-01-03 05:49:00,5,49,3,1,2023,0.882,0.883,0.882,0.882,112069.9
2023-01-03 05:50:00,5,50,3,1,2023,0.882,0.883,0.882,0.882,10328.6
2023-01-03 05:51:00,5,51,3,1,2023,0.883,0.883,0.882,0.882,54968.2
2023-01-03 05:52:00,5,52,3,1,2023,0.883,0.883,0.881,0.882,213061.9
2023-01-03 05:53:00,5,53,3,1,2023,0.882,0.883,0.881,0.882,257623.5
2023-01-03 05:54:00,5,54,3,1,2023,0.882,0.883,0.881,0.882,73415.3
2023-01-03 05:55:00,5,55,3,1,2023,0.882,0.883,0.882,0.883,21207.5
2023-01-03 05:56:00,5,56,3,1,2023,0.882,0.883,0.881,0.882,119293.9
2023-01-03 05:57:00,5,57,3,1,2023,0.882,0.883,0.882,0.882,7548.0
2023-01-03 05:58:00,5,58,3,1,2023,0.882,0.883,0.882,0.882,2005.8
2023-01-03 05:59:00,5,59,3,1,2023,0.882,0.883,0.882,0.882,1372.5
2023-01-03 06:00:00,6,0,3,1,2023,0.882,0.883,0.882,0.882,8389.7
2023-01-03 06:01:00,6,1,3,1,2023,0.882,0.883,0.882,0.882,5547.7
2023-01-03 06:02:00,6,2,3,1,2023,0.882,0.884,0.882,0.883,98231.4
2023-01-03 06:03:00,6,3,3,1,2023,0.883,0.884,0.883,0.884,19960.9
2023-01-03 06:04:00,6,4,3,1,2023,0.884,0.884,0.883,0.884,3416.4
2023-01-03 06:05:00,6,5,3,1,2023,0.884,0.884,0.883,0.884,46902.2
2023-01-03 06:06:00,6,6,3,1,2023,0.884,0.884,0.883,0.884,21289.7
2023-01-03 06:07:00,6,7,3,1,2023,0.884,0.885,0.884,0.884,58153.3
2023-01-03 06:08:00,6,8,3,1,2023,0.885,0.885,0.884,0.884,19138.8
2023-01-03 06:09:00,6,9,3,1,2023,0.884,0.885,0.883,0.883,98911.8
2023-01-03 06:10:00,6,10,3,1,2023,0.884,0.884,0.883,0.884,11593.5
2023-01-03 06:11:00,6,11,3,1,2023,0.884,0.884,0.883,0.883,817.5
2023-01-03 06:12:00,6,12,3,1,2023,0.884,0.885,0.883,0.884,135567.3
2023-01-03 06:13:00,6,13,3,1,2023,0.885,0.885,0.884,0.884,23259.3
2023-01-03 06:14:00,6,14,3,1,2023,0.885,0.885,0.884,0.884,15679.9
2023-01-03 06:15:00,6,15,3,1,2023,0.884,0.885,0.884,0.885,9568.9
2023-01-03 06:16:00,6,16,3,1,2023,0.884,0.885,0.884,0.885,12007.8
2023-01-03 06:17:00,6,17,3,1,2023,0.884,0.885,0.884,0.884,1929.9
2023-01-03 06:18:00,6,18,3,1,2023,0.885,0.885,0.884,0.884,8464.5
2023-01-03 06:19:00,6,19,3,1,2023,0.885,0.885,0.884,0.884,665.9
2023-01-03 06:20:00,6,20,3,1,2023,0.884,0.885,0.883,0.884,54027.8
2023-01-03 06:21:00,6,21,3,1,2023,0.883,0.884,0.883,0.883,3110.4
2023-01-03 06:22:00,6,22,3,1,2023,0.884,0.884,0.883,0.883,3019.1
2023-01-03 06:23:00,6,23,3,1,2023,0.884,0.884,0.883,0.883,3986.1
2023-01-03 06:24:00,6,24,3,1,2023,0.883,0.884,0.882,0.884,152683.6
2023-01-03 06:25:00,6,25,3,1,2023,0.883,0.884,0.883,0.883,4480.2
2023-01-03 06:26:00,6,26,3,1,2023,0.883,0.884,0.883,0.883,3927.0
