OpenTime,hour,minute,day,month,year,open,high,low,close,volume
2023-01-03 05:30:00,5,30,3,1,2023,22.67,22.68,22.64,22.67,2214.0
2023-01-03 05:31:00,5,31,3,1,2023,22.67,22.7,22.65,22.65,1081.4
2023-01-03 05:32:00,5,32,3,1,2023,22.64,22.65,22.63,22.64,1048.1
2023-01-03 05:33:00,5,33,3,1,2023,22.63,22.64,22.59,22.61,773.9
2023-01-03 05:34:00,5,34,3,1,2023,22.6,22.61,22.59,22.59,510.8
2023-01-03 05:35:00,5,35,3,1,2023,22.6,22.6,22.58,22.58,372.3
2023-01-03 05:36:00,5,36,3,1,2023,22.59,22.6,22.59,22.6,197.0
2023-01-03 05:37:00,5,37,3,1,2023,22.6,22.62,22.6,22.61,297.1
2023-01-03 05:38:00,5,38,3,1,2023,22.62,22.64,22.62,22.64,523.4
2023-01-03 05:39:00,5,39,3,1,2023,22.64,22.64,22.62,22.64,588.4
2023-01-03 05:40:00,5,40,3,1,2023,22.64,22.67,22.64,22.67,576.7
2023-01-03 05:41:00,5,41,3,1,2023,22.66,22.66,22.64,22.65,505.9
2023-01-03 05:42:00,5,42,3,1,2023,22.65,22.68,22.65,22.68,240.0
2023-01-03 05:43:00,5,43,3,1,2023,22.67,22.67,22.66,22.66,897.6
2023-01-03 05:44:00,5,44,3,1,2023,22.67,22.7,22.67,22.69,494.5
2023-01-03 05:45:00,5,45,3,1,2023,22.69,22.71,22.69,22.71,155.4
2023-01-03 05:46:00,5,46,3,1,2023,22.71,22.74,22.71,22.73,593.9
2023-01-03 05:47:00,5,47,3,1,2023,22.73,22.74,22.73,22.74,66.7
2023-01-03 05:48:00,5,48,3,1,2023,22.74,22.77,22.73,22.77,600.3
2023-01-03 05:49:00,5,49,3,1,2023,22.76,22.77,22.73,22.74,1414.1
2023-01-03 05:50:00,5,50,3,1,2023,22.75,22.75,22.72,22.73,427.7
2023-01-03 05:51:00,5,51,3,1,2023,22.72,22.73,22.7,22.71,558.6
2023-01-03 05:52:00,5,52,3,1,2023,22.71,22.71,22.67,22.68,673.2
2023-01-03 05:53:00,5,53,3,1,2023,22.67,22.67,22.64,22.65,1215.6
2023-01-03 05:54:00,5,54,3,1,2023,22.66,22.67,22.65,22.65,281.3
2023-01-03 05:55:00,5,55,3,1,2023,22.66,22.67,22.65,22.66,546.7
2023-01-03 05:56:00,5,56,3,1,2023,22.66,22.67,22.65,22.67,199.4
2023-01-03 05:57:00,5,57,3,1,2023,22.67,22.67,22.67,22.67,3.0
2023-01-03 05:58:00,5,58,3,1,2023,22.67,22.67,22.65,22.65,41.0
2023-01-03 05:59:00,5,59,3,1,2023,22.65,22.65,22.63,22.64,196.6
2023-01-03 06:00:00,6,0,3,1,2023,22.64,22.68,22.63,22.68,1224.7
2023-01-03 06:01:00,6,1,3,1,2023,22.67,22.68,22.67,22.68,46.5
2023-01-03 06:02:00,6,2,3,1,2023,22.67,22.68,22.67,22.67,34.2
2023-01-03 06:03:00,6,3,3,1,2023,22.67,22.71,22.67,22.71,413.0
2023-01-03 06:04:00,6,4,3,1,2023,22.71,22.71,22.69,22.7,211.2
2023-01-03 06:05:00,6,5,3,1,2023,22.7,22.71,22.69,22.71,286.6
2023-01-03 06:06:00,6,6,3,1,2023,22.7,22.7,22.7,22.7,254.7
2023-01-03 06:07:00,6,7,3,1,2023,22.69,22.71,22.69,22.71,168.4
2023-01-03 06:08:00,6,8,3,1,2023,22.71,22.71,22.7,22.71,294.7
2023-01-03 06:09:00,6,9,3,1,2023,22.71,22.72,22.7,22.72,247.6
2023-01-03 06:10:00,6,10,3,1,2023,22.72,22.72,22.7,22.7,542.6
2023-01-03 06:11:00,6,11,3,1,2023,22.69,22.69,22.68,22.69,91.6
2023-01-03 06:12:00,6,12,3,1,2023,22.69,22.71,22.69,22.7,357.0
2023-01-03 06:13:00,6,13,3,1,2023,22.71,22.71,22.7,22.7,11.7
2023-01-03 06:14:00,6,14,3,1,2023,22.71,22.71,22.7,22.7,559.1
2023-01-03 06:15:00,6,15,3,1,2023,22.71,22.72,22.7,22.71,464.9
2023-01-03 06:16:00,6,16,3,1,2023,22.72,22.72,22.71,22.72,36.5
2023-01-03 06:17:00,6,17,3,1,2023,22.72,22.72,22.72,22.72,11.5
2023-01-03 06:18:00,6,18,3,1,2023,22.72,22.72,22.71,22.72,31.2
2023-01-03 06:19:00,6,19,3,1,2023,22.72,22.73,22.72,22.73,216.5
2023-01-03 06:20:00,6,20,3,1,2023,22.73,22.73,22.72,22.73,234.8
2023-01-03 06:21:00,6,21,3,1,2023,22.73,22.75,22.73,22.75,455.4
2023-01-03 06:22:00,6,22,3,1,2023,22.75,22.77,22.74,22.76,394.2
2023-01-03 06:23:00,6,23,3,1,2023,22.76,22.76,22.72,22.72,513.4
2023-01-03 06:24:00,6,24,3,1,2023,22.72,22.72,22.7,22.71,393.7
2023-01-03 06:25:00,6,25,3,1,2023,22.71,22.73,22.7,22.72,701.5
2023-01-03 06:26:00,6,26,3,1,2023,22.71,22.72,22.71,22.72,98.7
2023-01-03 06:27:00,6,27,3,1,2023,22.72,22.73,22.71,22.73,147.2
2023-01-03 06:28:00,6,28,3,1,2023,22.72,22.72,22.72,22.72,24.4
2023-01-03 06:29:00,6,29,3,1,2023,22.72,22.72,22.67,22.67,882.5
2023-01-03 06:30:00,6,30,3,1,2023,22.68,22.74,22.67,22.74,2803.3
2023-01-03 06:31:00,6,31,3,1,2023,22.73,22.76,22.73,22.75,559.5
2023-01-03 06:32:00,6,32,3,1,2023,22.74,22.75,22.74,22.75,51.8
2023-01-03 06:33:00,6,33,3,1,2023,22.75,22.76,22.74,22.75,233.2
2023-01-03 06:34:00,6,34,3,1,2023,22.76,22.77,22.75,22.76,179.8
2023-01-03 06:35:00,6,35,3,1,2023,22.76,22.77,22.76,22.77,105.6
2023-01-03 06:36:00,6,36,3,1,2023,22.76,22.76,22.71,22.71,1637.4
2023-01-03 06:37:00,6,37,3,1,2023,22.71,22.72,22.71,22.72,11.6
2023-01-03 06:38:00,6,38,3,1,2023,22.71,22.72,22.71,22.72,68.3
2023-01-03 06:39:00,6,39,3,1,2023,22.71,22.72,22.71,22.72,21.4
2023-01-03 06:40:00,6,40,3,1,2023,22.72,22.72,22.68,22.69,1027.0
2023-01-03 06:41:00,6,41,3,1,2023,22.69,22.69,22.66,22.68,544.5
2023-01-03 06:42:00,6,42,3,1,2023,22.68,22.68,22.66,22.66,65.2
2023-01-03 06:43:00,6,43,3,1,2023,22.66,22.66,22.64,22.65,462.7
2023-01-03 06:44:00,6,44,3,1,2023,22.66,22.67,22.66,22.66,202.5
2023-01-03 06:45:00,6,45,3,1,2023,22.66,22.67,22.66,22.66,268.0
2023-01-03 06:46:00,6,46,3,1,2023,22.67,22.67,22.66,22.66,276.9
2023-01-03 06:47:00,6,47,3,1,2023,22.66,22.66,22.65,22.65,166.1
2023-01-03 06:48:00,6,48,3,1,2023,22.66,22.66,22.65,22.66,82.3
2023-01-03 06:49:00,6,49,3,1,2023,22.66,22.66,22.63,22.64,698.4
2023-01-03 06:50:00,6,50,3,1,2023,22.63,22.64,22.62,22.64,600.5
2023-01-03 06:51:00,6,51,3,1,2023,22.63,22.64,22.61,22.62,439.6
2023-01-03 06:52:00,6,52,3,1,2023,22.62,22.64,22.61,22.64,424.7
2023-01-03 06:53:00,6,53,3,1,2023,22.64,22.65,22.6,22.61,567.5
2023-01-03 06:54:00,6,54,3,1,2023,22.6,22.61,22.49,22.53,5466.2
2023-01-03 06:55:00,6,55,3,1,2023,22.54,22.55,22.51,22.55,899.3
2023-01-03 06:56:00,6,56,3,1,2023,22.55,22.57,22.54,22.56,458.2
2023-01-03 06:57:00,6,57,3,1,2023,22.56,22.57,22.56,22.57,38.8
2023-01-03 06:58:00,6,58,3,1,2023,22.55,22.55,22.52,22.52,938.1
2023-01-03 06:59:00,6,59,3,1,2023,22.51,22.53,22.51,22.51,673.2
2023-01-03 07:00:00,7,0,3,1,2023,22.51,22.51,22.34,22.39,13538.9
2023-01-03 07:01:00,7,1,3,1,2023,22.4,22.4,22.33,22.36,3413.0
2023-01-03 07:02:00,7,2,3,1,2023,22.36,22.38,22.35,22.38,1442.6
2023-01-03 07:03:00,7,3,3,1,2023,22.37,22.41,22.37,22.41,1064.5
2023-01-03 07:04:00,7,4,3,1,2023,22.41,22.46,22.41,22.44,1335.2
2023-01-03 07:05:00,7,5,3,1,2023,22.44,22.45,22.42,22.43,793.9
2023-01-03 07:06:00,7,6,3,1,2023,22.44,22.44,22.42,22.43,393.1
2023-01-03 07:07:00,7,7,3,1,2023,22.43,22.45,22.42,22.44,660.9
2023-01-03 07:08:00,7,8,3,1,2023,22.44,22.45,22.42,22.42,480.0
2023-01-03 07:09:00,7,9,3,1,2023,22.42,22.42,22.4,22.4,945.8
2023-01-03 07:10:00,7,10,3,1,2023,22.4,22.45,22.39,22.45,1030.3
2023-01-03 07:11:00,7,11,3,1,2023,22.44,22.46,22.44,22.46,306.2
2023-01-03 07:12:00,7,12,3,1,2023,22.47,22.47,22.43,22.43,543.6
2023-01-03 07:13:00,7,13,3,1,2023,22.43,22.46,22.43,22.45,412.4
2023-01-03 07:14:00,7,14,3,1,2023,22.45,22.46,22.43,22.46,783.5
2023-01-03 07:15:00,7,15,3,1,2023,22.46,22.46,22.41,22.44,2395.7
2023-01-03 07:16:00,7,16,3,1,2023,22.43,22.48,22.43,22.46,1038.1
2023-01-03 07:17:00,7,17,3,1,2023,22.45,22.46,22.44,22.45,118.2
2023-01-03 07:18:00,7,18,3,1,2023,22.44,22.46,22.44,22.46,486.9
2023-01-03 07:19:00,7,19,3,1,2023,22.46,22.47,22.45,22.46,320.6
2023-01-03 07:20:00,7,20,3,1,2023,22.46,22.46,22.45,22.46,176.8
2023-01-03 07:21:00,7,21,3,1,2023,22.46,22.47,22.45,22.47,90.6
2023-01-03 07:22:00,7,22,3,1,2023,22.46,22.47,22.46,22.46,74.4
2023-01-03 07:23:00,7,23,3,1,2023,22.46,22.48,22.46,22.46,205.6
2023-01-03 07:24:00,7,24,3,1,2023,22.46,22.47,22.44,22.45,713.4
2023-01-03 07:25:00,7,25,3,1,2023,22.45,22.46,22.44,22.45,161.9
2023-01-03 07:26:00,7,26,3,1,2023,22.45,22.45,22.43,22.43,222.1
2023-01-03 07:27:00,7,27,3,1,2023,22.44,22.47,22.43,22.47,814.1
2023-01-03 07:28:00,7,28,3,1,2023,22.46,22.47,22.45,22.47,702.4
2023-01-03 07:29:00,7,29,3,1,2023,22.46,22.47,22.45,22.46,91.2
2023-01-03 07:30:00,7,30,3,1,2023,22.44,22.44,22.42,22.43,411.4
2023-01-03 07:31:00,7,31,3,1,2023,22.42,22.42,22.37,22.38,1478.5
2023-01-03 07:32:00,7,32,3,1,2023,22.38,22.44,22.38,22.44,1036.4
2023-01-03 07:33:00,7,33,3,1,2023,22.44,22.46,22.43,22.46,563.6
2023-01-03 07:34:00,7,34,3,1,2023,22.46,22.46,22.44,22.44,180.5
2023-01-03 07:35:00,7,35,3,1,2023,22.44,22.45,22.4,22.42,803.5
2023-01-03 07:36:00,7,36,3,1,2023,22.42,22.43,22.39,22.4,318.6
2023-01-03 07:37:00,7,37,3,1,2023,22.4,22.41,22.39,22.4,119.1
2023-01-03 07:38:00,7,38,3,1,2023,22.39,22.42,22.39,22.42,433.7
2023-01-03 07:39:00,7,39,3,1,2023,22.41,22.43,22.41,22.43,171.3
2023-01-03 07:40:00,7,40,3,1,2023,22.42,22.44,22.4,22.44,772.5
2023-01-03 07:41:00,7,41,3,1,2023,22.42,22.44,22.42,22.44,47.1
2023-01-03 07:42:00,7,42,3,1,2023,22.44,22.44,22.43,22.44,56.2
2023-01-03 07:43:00,7,43,3,1,2023,22.44,22.45,22.44,22.45,240.4
2023-01-03 07:44:00,7,44,3,1,2023,22.45,22.47,22.45,22.46,868.4
2023-01-03 07:45:00,7,45,3,1,2023,22.45,22.46,22.44,22.46,704.2
2023-01-03 07:46:00,7,46,3,1,2023,22.46,22.46,22.45,22.45,115.3
2023-01-03 07:47:00,7,47,3,1,2023,22.45,22.46,22.44,22.44,65.3
