OpenTime,hour,minute,day,month,year,open,high,low,close,volume
2023-01-03 05:30:00,5,30,3,1,2023,5.688,5.69,5.68,5.689,46389.72
2023-01-03 05:31:00,5,31,3,1,2023,5.688,5.694,5.685,5.685,43547.9
2023-01-03 05:32:00,5,32,3,1,2023,5.685,5.691,5.684,5.686,39853.31
2023-01-03 05:33:00,5,33,3,1,2023,5.686,5.687,5.68,5.681,17859.2
2023-01-03 05:34:00,5,34,3,1,2023,5.681,5.684,5.68,5.682,14910.23
2023-01-03 05:35:00,5,35,3,1,2023,5.682,5.686,5.682,5.683,8946.83
2023-01-03 05:36:00,5,36,3,1,2023,5.683,5.688,5.683,5.688,9031.46
2023-01-03 05:37:00,5,37,3,1,2023,5.688,5.691,5.686,5.69,15958.4
2023-01-03 05:38:00,5,38,3,1,2023,5.69,5.694,5.688,5.693,14847.46
2023-01-03 05:39:00,5,39,3,1,2023,5.693,5.697,5.692,5.694,14424.81
2023-01-03 05:40:00,5,40,3,1,2023,5.694,5.696,5.693,5.696,5823.48
2023-01-03 05:41:00,5,41,3,1,2023,5.695,5.696,5.692,5.693,10250.59
2023-01-03 05:42:00,5,42,3,1,2023,5.692,5.697,5.692,5.695,9882.94
2023-01-03 05:43:00,5,43,3,1,2023,5.695,5.697,5.693,5.694,9443.52
2023-01-03 05:44:00,5,44,3,1,2023,5.695,5.702,5.694,5.701,43192.81
2023-01-03 05:45:00,5,45,3,1,2023,5.701,5.703,5.699,5.7,19027.65
2023-01-03 05:46:00,5,46,3,1,2023,5.7,5.702,5.7,5.7,9161.47
2023-01-03 05:47:00,5,47,3,1,2023,5.7,5.703,5.7,5.701,7583.02
2023-01-03 05:48:00,5,48,3,1,2023,5.701,5.704,5.701,5.701,10206.68
2023-01-03 05:49:00,5,49,3,1,2023,5.702,5.702,5.698,5.698,20010.71
2023-01-03 05:50:00,5,50,3,1,2023,5.699,5.699,5.696,5.696,6975.17
2023-01-03 05:51:00,5,51,3,1,2023,5.697,5.697,5.695,5.695,2054.3
2023-01-03 05:52:00,5,52,3,1,2023,5.696,5.696,5.688,5.689,23741.13
2023-01-03 05:53:00,5,53,3,1,2023,5.69,5.692,5.686,5.692,12892.49
2023-01-03 05:54:00,5,54,3,1,2023,5.691,5.692,5.69,5.69,7458.4
2023-01-03 05:55:00,5,55,3,1,2023,5.691,5.691,5.687,5.687,8582.97
2023-01-03 05:56:00,5,56,3,1,2023,5.688,5.69,5.685,5.688,11933.65
2023-01-03 05:57:00,5,57,3,1,2023,5.688,5.688,5.687,5.687,2145.88
2023-01-03 05:58:00,5,58,3,1,2023,5.687,5.688,5.685,5.686,4606.88
2023-01-03 05:59:00,5,59,3,1,2023,5.686,5.689,5.686,5.687,6383.32
2023-01-03 06:00:00,6,0,3,1,2023,5.687,5.689,5.685,5.689,8943.24
2023-01-03 06:01:00,6,1,3,1,2023,5.69,5.693,5.69,5.691,8580.61
2023-01-03 06:02:00,6,2,3,1,2023,5.692,5.695,5.691,5.695,12117.65
2023-01-03 06:03:00,6,3,3,1,2023,5.695,5.699,5.695,5.699,8614.86
2023-01-03 06:04:00,6,4,3,1,2023,5.7,5.703,5.698,5.701,22406.23
2023-01-03 06:05:00,6,5,3,1,2023,5.702,5.703,5.701,5.702,9253.38
2023-01-03 06:06:00,6,6,3,1,2023,5.702,5.702,5.7,5.702,5687.32
2023-01-03 06:07:00,6,7,3,1,2023,5.702,5.707,5.701,5.706,9731.8
2023-01-03 06:08:00,6,8,3,1,2023,5.705,5.709,5.705,5.705,16362.62
2023-01-03 06:09:00,6,9,3,1,2023,5.705,5.712,5.705,5.709,52211.33
2023-01-03 06:10:00,6,10,3,1,2023,5.708,5.709,5.705,5.707,8348.59
2023-01-03 06:11:00,6,11,3,1,2023,5.707,5.709,5.705,5.708,9678.84
2023-01-03 06:12:00,6,12,3,1,2023,5.709,5.712,5.708,5.712,24125.48
2023-01-03 06:13:00,6,13,3,1,2023,5.712,5.714,5.71,5.71,10422.73
2023-01-03 06:14:00,6,14,3,1,2023,5.709,5.713,5.709,5.712,10878.3
2023-01-03 06:15:00,6,15,3,1,2023,5.712,5.715,5.707,5.707,29201.96
2023-01-03 06:16:00,6,16,3,1,2023,5.708,5.71,5.707,5.707,6159.31
2023-01-03 06:17:00,6,17,3,1,2023,5.708,5.709,5.708,5.708,3098.1
2023-01-03 06:18:00,6,18,3,1,2023,5.708,5.71,5.707,5.707,7679.58
2023-01-03 06:19:00,6,19,3,1,2023,5.708,5.708,5.704,5.704,3427.36
2023-01-03 06:20:00,6,20,3,1,2023,5.705,5.705,5.702,5.702,8228.51
2023-01-03 06:21:00,6,21,3,1,2023,5.703,5.703,5.7,5.7,7546.62
2023-01-03 06:22:00,6,22,3,1,2023,5.701,5.703,5.697,5.703,31952.65
2023-01-03 06:23:00,6,23,3,1,2023,5.702,5.703,5.695,5.696,16684.17
2023-01-03 06:24:00,6,24,3,1,2023,5.696,5.698,5.695,5.698,7676.42
2023-01-03 06:25:00,6,25,3,1,2023,5.698,5.698,5.697,5.698,656.79
2023-01-03 06:26:00,6,26,3,1,2023,5.697,5.699,5.696,5.696,3339.49
2023-01-03 06:27:00,6,27,3,1,2023,5.696,5.703,5.696,5.703,6632.87
2023-01-03 06:28:00,6,28,3,1,2023,5.703,5.705,5.702,5.704,7002.66
2023-01-03 06:29:00,6,29,3,1,2023,5.704,5.706,5.697,5.698,19423.39
2023-01-03 06:30:00,6,30,3,1,2023,5.698,5.702,5.696,5.702,19612.49
2023-01-03 06:31:00,6,31,3,1,2023,5.702,5.703,5.7,5.703,6868.5
2023-01-03 06:32:00,6,32,3,1,2023,5.702,5.702,5.698,5.698,7981.2
2023-01-03 06:33:00,6,33,3,1,2023,5.698,5.699,5.697,5.697,4494.64
2023-01-03 06:34:00,6,34,3,1,2023,5.697,5.698,5.695,5.698,16083.3
2023-01-03 06:35:00,6,35,3,1,2023,5.696,5.698,5.694,5.694,5243.95
2023-01-03 06:36:00,6,36,3,1,2023,5.695,5.695,5.692,5.692,4848.74
2023-01-03 06:37:00,6,37,3,1,2023,5.692,5.693,5.691,5.692,10258.61
2023-01-03 06:38:00,6,38,3,1,2023,5.692,5.693,5.689,5.689,11770.68
2023-01-03 06:39:00,6,39,3,1,2023,5.69,5.691,5.686,5.687,18526.18
2023-01-03 06:40:00,6,40,3,1,2023,5.687,5.687,5.685,5.686,7495.91
2023-01-03 06:41:00,6,41,3,1,2023,5.686,5.688,5.684,5.687,23486.95
2023-01-03 06:42:00,6,42,3,1,2023,5.686,5.687,5.673,5.677,106031.04
2023-01-03 06:43:00,6,43,3,1,2023,5.678,5.681,5.677,5.679,13186.27
2023-01-03 06:44:00,6,44,3,1,2023,5.678,5.679,5.675,5.676,10203.07
2023-01-03 06:45:00,6,45,3,1,2023,5.676,5.678,5.676,5.677,5880.59
2023-01-03 06:46:00,6,46,3,1,2023,5.676,5.677,5.672,5.672,11370.54
2023-01-03 06:47:00,6,47,3,1,2023,5.672,5.674,5.671,5.671,10244.34
2023-01-03 06:48:00,6,48,3,1,2023,5.671,5.672,5.668,5.67,15143.14
2023-01-03 06:49:00,6,49,3,1,2023,5.67,5.67,5.657,5.659,132046.61
2023-01-03 06:50:00,6,50,3,1,2023,5.659,5.663,5.659,5.663,44510.04
2023-01-03 06:51:00,6,51,3,1,2023,5.664,5.664,5.654,5.658,45082.59
2023-01-03 06:52:00,6,52,3,1,2023,5.658,5.662,5.655,5.659,26782.72
2023-01-03 06:53:00,6,53,3,1,2023,5.658,5.664,5.656,5.656,18479.29
2023-01-03 06:54:00,6,54,3,1,2023,5.656,5.656,5.635,5.649,193522.21
2023-01-03 06:55:00,6,55,3,1,2023,5.648,5.657,5.645,5.656,35394.66
2023-01-03 06:56:00,6,56,3,1,2023,5.656,5.659,5.655,5.658,12667.54
2023-01-03 06:57:00,6,57,3,1,2023,5.658,5.658,5.655,5.655,15098.33
2023-01-03 06:58:00,6,58,3,1,2023,5.656,5.656,5.651,5.651,20976.49
2023-01-03 06:59:00,6,59,3,1,2023,5.652,5.655,5.651,5.653,13207.93
2023-01-03 07:00:00,7,0,3,1,2023,5.654,5.654,5.648,5.652,65377.99
2023-01-03 07:01:00,7,1,3,1,2023,5.652,5.652,5.644,5.644,13504.85
2023-01-03 07:02:00,7,2,3,1,2023,5.645,5.653,5.644,5.653,39666.74
2023-01-03 07:03:00,7,3,3,1,2023,5.653,5.662,5.652,5.662,57110.03
2023-01-03 07:04:00,7,4,3,1,2023,5.661,5.667,5.661,5.665,29321.41
2023-01-03 07:05:00,7,5,3,1,2023,5.665,5.666,5.662,5.664,19430.67
2023-01-03 07:06:00,7,6,3,1,2023,5.665,5.666,5.663,5.666,8127.13
2023-01-03 07:07:00,7,7,3,1,2023,5.665,5.665,5.662,5.662,6333.62
2023-01-03 07:08:00,7,8,3,1,2023,5.663,5.663,5.659,5.659,6881.13
2023-01-03 07:09:00,7,9,3,1,2023,5.66,5.661,5.658,5.661,5445.57
2023-01-03 07:10:00,7,10,3,1,2023,5.66,5.663,5.659,5.663,14799.32
2023-01-03 07:11:00,7,11,3,1,2023,5.664,5.667,5.662,5.667,7561.14
2023-01-03 07:12:00,7,12,3,1,2023,5.667,5.671,5.667,5.667,20559.7
2023-01-03 07:13:00,7,13,3,1,2023,5.668,5.668,5.666,5.668,2645.88
2023-01-03 07:14:00,7,14,3,1,2023,5.669,5.674,5.668,5.674,12353.52
2023-01-03 07:15:00,7,15,3,1,2023,5.674,5.675,5.666,5.667,39933.82
2023-01-03 07:16:00,7,16,3,1,2023,5.668,5.668,5.665,5.665,6295.72
2023-01-03 07:17:00,7,17,3,1,2023,5.666,5.666,5.663,5.664,4200.54
2023-01-03 07:18:00,7,18,3,1,2023,5.664,5.665,5.662,5.664,7793.8
2023-01-03 07:19:00,7,19,3,1,2023,5.664,5.665,5.66,5.66,8388.86
2023-01-03 07:20:00,7,20,3,1,2023,5.66,5.662,5.655,5.657,33621.7
2023-01-03 07:21:00,7,21,3,1,2023,5.657,5.661,5.655,5.66,26096.27
2023-01-03 07:22:00,7,22,3,1,2023,5.661,5.662,5.657,5.659,17531.15
2023-01-03 07:23:00,7,23,3,1,2023,5.659,5.661,5.659,5.659,7561.53
2023-01-03 07:24:00,7,24,3,1,2023,5.66,5.664,5.654,5.663,32453.65
2023-01-03 07:25:00,7,25,3,1,2023,5.662,5.663,5.657,5.661,26404.47
2023-01-03 07:26:00,7,26,3,1,2023,5.661,5.661,5.655,5.657,21218.96
2023-01-03 07:27:00,7,27,3,1,2023,5.658,5.664,5.657,5.662,9859.81
2023-01-03 07:28:00,7,28,3,1,2023,5.663,5.669,5.663,5.668,5422.3
2023-01-03 07:29:00,7,29,3,1,2023,5.669,5.67,5.668,5.668,24546.53
2023-01-03 07:30:00,7,30,3,1,2023,5.669,5.669,5.664,5.665,13852.09
2023-01-03 07:31:00,7,31,3,1,2023,5.666,5.666,5.663,5.663,4597.3
2023-01-03 07:32:00,7,32,3,1,2023,5.664,5.671,5.664,5.671,13761.88
2023-01-03 07:33:00,7,33,3,1,2023,5.672,5.676,5.671,5.674,17481.02
2023-01-03 07:34:00,7,34,3,1,2023,5.675,5.676,5.674,5.675,6680.42
2023-01-03 07:35:00,7,35,3,1,2023,5.676,5.677,5.671,5.675,17422.57
2023-01-03 07:36:00,7,36,3,1,2023,5.674,5.676,5.673,5.673,4288.19
2023-01-03 07:37:00,7,37,3,1,2023,5.673,5.673,5.67,5.67,10098.59
2023-01-03 07:38:00,7,38,3,1,2023,5.671,5.671,5.666,5.669,13001.54
2023-01-03 07:39:00,7,39,3,1,2023,5.669,5.674,5.669,5.674,11911.75
2023-01-03 07:40:00,7,40,3,1,2023,5.673,5.674,5.673,5.673,1410.22
2023-01-03 07:41:00,7,41,3,1,2023,5.674,5.676,5.673,5.676,4019.41
2023-01-03 07:42:00,7,42,3,1,2023,5.676,5.678,5.674,5.674,8472.33
2023-01-03 07:43:00,7,43,3,1,2023,5.674,5.678,5.674,5.678,8196.2
2023-01-03 07:44:00,7,44,3,1,2023,5.678,5.681,5.675,5.676,15603.7
2023-01-03 07:45:00,7,45,3,1,2023,5.676,5.677,5.672,5.674,16614.1
2023-01-03 07:46:00,7,46,3,1,2023,5.675,5.675,5.67,5.671,6165.1
2023-01-03 07:47:00,7,47,3,1,2023,5.671,5.672,5.671,5.671,3525.85
2023-01-03 07:48:00,7,48,3,1,2023,5.671,5.673,5.67,5.672,11348.18
2023-01-03 07:49:00,7,49,3,1,2023,5.671,5.672,5.669,5.672,10074.7
2023-01-03 07:50:00,7,50,3,1,2023,5.672,5.676,5.67,5.676,8684.88
2023-01-03 07:51:00,7,51,3,1,2023,5.675,5.675,5.669,5.672,16311.28
2023-01-03 07:52:00,7,52,3,1,2023,5.671,5.673,5.666,5.666,4537.64
2023-01-03 07:53:00,7,53,3,1,2023,5.665,5.667,5.665,5.667,6526.94
2023-01-03 07:54:00,7,54,3,1,2023,5.667,5.668,5.663,5.664,4458.56
2023-01-03 07:55:00,7,55,3,1,2023,5.664,5.665,5.66,5.663,28054.65
2023-01-03 07:56:00,7,56,3,1,2023,5.663,5.663,5.661,5.661,2814.8
2023-01-03 07:57:00,7,57,3,1,2023,5.662,5.664,5.661,5.662,4456.16
2023-01-03 07:58:00,7,58,3,1,2023,5.662,5.664,5.659,5.661,5638.17
2023-01-03 07:59:00,7,59,3,1,2023,5.66,5.666,5.66,5.665,5934.84
2023-01-03 08:00:00,8,0,3,1,2023,5.665,5.676,5.662,5.674,34397.94
2023-01-03 08:01:00,8,1,3,1,2023,5.674,5.676,5.669,5.669,21970.68
2023-01-03 08:02:00,8,2,3,1,2023,5.669,5.675,5.669,5.673,3585.27
2023-01-03 08:03:00,8,3,3,1,2023,5.672,5.678,5.672,5.676,13953.61
2023-01-03 08:04:00,8,4,3,1,2023,5.675,5.675,5.674,5.675,10650.3
2023-01-03 08:05:00,8,5,3,1,2023,5.674,5.675,5.67,5.671,20037.81
2023-01-03 08:06:00,8,6,3,1,2023,5.671,5.671,5.668,5.671,11886.73
2023-01-03 08:07:00,8,7,3,1,2023,5.671,5.672,5.669,5.672,2612.49
2023-01-03 08:08:00,8,8,3,1,2023,5.671,5.673,5.671,5.673,1977.85
2023-01-03 08:09:00,8,9,3,1,2023,5.672,5.677,5.672,5.674,4572.15
2023-01-03 08:10:00,8,10,3,1,2023,5.674,5.674,5.671,5.674,7506.3
2023-01-03 08:11:00,8,11,3,1,2023,5.675,5.675,5.673,5.673,1255.4
2023-01-03 08:12:00,8,12,3,1,2023,5.673,5.674,5.673,5.673,208.71
2023-01-03 08:13:00,8,13,3,1,2023,5.672,5.676,5.672,5.676,6719.04
2023-01-03 08:14:00,8,14,3,1,2023,5.676,5.679,5.676,5.676,4737.37
2023-01-03 08:15:00,8,15,3,1,2023,5.676,5.677,5.673,5.674,4780.29
2023-01-03 08:16:00,8,16,3,1,2023,5.674,5.674,5.67,5.672,5522.02
2023-01-03 08:17:00,8,17,3,1,2023,5.672,5.673,5.67,5.671,8989.06
2023-01-03 08:18:00,8,18,3,1,2023,5.671,5.672,5.669,5.671,4428.99
2023-01-03 08:19:00,8,19,3,1,2023,5.67,5.672,5.667,5.667,13230.58
2023-01-03 08:20:00,8,20,3,1,2023,5.667,5.672,5.666,5.672,18277.85
2023-01-03 08:21:00,8,21,3,1,2023,5.671,5.672,5.67,5.67,3515.99
2023-01-03 08:22:00,8,22,3,1,2023,5.671,5.676,5.671,5.674,19635.12
2023-01-03 08:23:00,8,23,3,1,2023,5.675,5.676,5.673,5.675,5235.5
2023-01-03 08:24:00,8,24,3,1,2023,5.674,5.675,5.67,5.67,3904.27
2023-01-03 08:25:00,8,25,3,1,2023,5.67,5.67,5.668,5.669,2749.02
2023-01-03 08:26:00,8,26,3,1,2023,5.668,5.67,5.668,5.669,2894.09
2023-01-03 08:27:00,8,27,3,1,2023,5.668,5.669,5.668,5.669,294.28
2023-01-03 08:28:00,8,28,3,1,2023,5.668,5.669,5.667,5.668,5479.83
2023-01-03 08:29:00,8,29,3,1,2023,5.667,5.668,5.664,5.665,6167.06
2023-01-03 08:30:00,8,30,3,1,2023,5.664,5.665,5.657,5.663,35791.56
2023-01-03 08:31:00,8,31,3,1,2023,5.663,5.663,5.657,5.659,10290.3
2023-01-03 08:32:00,8,32,3,1,2023,5.66,5.663,5.656,5.663,7801.26
2023-01-03 08:33:00,8,33,3,1,2023,5.662,5.664,5.66,5.662,12211.59
2023-01-03 08:34:00,8,34,3,1,2023,5.664,5.665,5.662,5.662,6011.7
2023-01-03 08:35:00,8,35,3,1,2023,5.662,5.664,5.661,5.662,7621.84
2023-01-03 08:36:00,8,36,3,1,2023,5.663,5.667,5.662,5.667,3359.67
2023-01-03 08:37:00,8,37,3,1,2023,5.666,5.667,5.662,5.662,6497.42
2023-01-03 08:38:00,8,38,3,1,2023,5.662,5.664,5.66,5.66,10200.02
2023-01-03 08:39:00,8,39,3,1,2023,5.661,5.663,5.66,5.662,7090.96
2023-01-03 08:40:00,8,40,3,1,2023,5.661,5.665,5.661,5.665,6543.88
2023-01-03 08:41:00,8,41,3,1,2023,5.665,5.666,5.661,5.661,3789.29
2023-01-03 08:42:00,8,42,3,1,2023,5.662,5.662,5.66,5.66,1412.42
2023-01-03 08:43:00,8,43,3,1,2023,5.659,5.66,5.658,5.658,4639.79
2023-01-03 08:44:00,8,44,3,1,2023,5.658,5.659,5.654,5.656,34860.12
2023-01-03 08:45:00,8,45,3,1,2023,5.657,5.659,5.653,5.653,11171.78
2023-01-03 08:46:00,8,46,3,1,2023,5.654,5.656,5.653,5.654,8702.41
2023-01-03 08:47:00,8,47,3,1,2023,5.655,5.66,5.653,5.66,17584.15
2023-01-03 08:48:00,8,48,3,1,2023,5.659,5.661,5.657,5.661,7261.04
2023-01-03 08:49:00,8,49,3,1,2023,5.661,5.663,5.661,5.663,3189.52
2023-01-03 08:50:00,8,50,3,1,2023,5.662,5.667,5.662,5.667,5574.12
2023-01-03 08:51:00,8,51,3,1,2023,5.667,5.667,5.664,5.664,7842.05
2023-01-03 08:52:00,8,52,3,1,2023,5.664,5.67,5.664,5.67,21389.49
2023-01-03 08:53:00,8,53,3,1,2023,5.67,5.674,5.67,5.671,31256.84
2023-01-03 08:54:00,8,54,3,1,2023,5.671,5.676,5.67,5.675,15226.06
2023-01-03 08:55:00,8,55,3,1,2023,5.676,5.676,5.672,5.674,3820.75
2023-01-03 08:56:00,8,56,3,1,2023,5.673,5.674,5.672,5.672,3700.96
2023-01-03 08:57:00,8,57,3,1,2023,5.672,5.672,5.67,5.672,5515.09
2023-01-03 08:58:00,8,58,3,1,2023,5.671,5.676,5.671,5.674,9745.29
2023-01-03 08:59:00,8,59,3,1,2023,5.673,5.676,5.673,5.676,2237.67
2023-01-03 09:00:00,9,0,3,1,2023,5.675,5.676,5.672,5.675,14831.6
2023-01-03 09:01:00,9,1,3,1,2023,5.676,5.678,5.675,5.676,12216.84
2023-01-03 09:02:00,9,2,3,1,2023,5.677,5.681,5.677,5.681,12895.41
2023-01-03 09:03:00,9,3,3,1,2023,5.681,5.683,5.679,5.68,29740.71
2023-01-03 09:04:00,9,4,3,1,2023,5.68,5.684,5.679,5.684,2514.24
2023-01-03 09:05:00,9,5,3,1,2023,5.683,5.684,5.679,5.679,11210.04
2023-01-03 09:06:00,9,6,3,1,2023,5.678,5.678,5.676,5.677,1463.58
2023-01-03 09:07:00,9,7,3,1,2023,5.676,5.68,5.676,5.68,5819.86
2023-01-03 09:08:00,9,8,3,1,2023,5.679,5.682,5.679,5.682,5487.41
