OpenTime,hour,minute,day,month,year,open,high,low,close,volume
2023-01-03 05:30:00,5,30,3,1,2023,2.191,2.192,2.186,2.19,74515.0
2023-01-03 05:31:00,5,31,3,1,2023,2.19,2.193,2.189,2.189,61662.0
2023-01-03 05:32:00,5,32,3,1,2023,2.188,2.191,2.188,2.191,37726.0
2023-01-03 05:33:00,5,33,3,1,2023,2.19,2.192,2.189,2.191,39154.0
2023-01-03 05:34:00,5,34,3,1,2023,2.19,2.192,2.189,2.19,38183.0
2023-01-03 05:35:00,5,35,3,1,2023,2.189,2.19,2.188,2.189,16888.0
2023-01-03 05:36:00,5,36,3,1,2023,2.189,2.191,2.188,2.189,38598.0
2023-01-03 05:37:00,5,37,3,1,2023,2.189,2.192,2.189,2.191,22984.0
2023-01-03 05:38:00,5,38,3,1,2023,2.192,2.194,2.19,2.194,83623.0
2023-01-03 05:39:00,5,39,3,1,2023,2.194,2.197,2.194,2.197,49768.0
2023-01-03 05:40:00,5,40,3,1,2023,2.197,2.197,2.195,2.196,43261.0
2023-01-03 05:41:00,5,41,3,1,2023,2.196,2.196,2.194,2.196,12753.0
2023-01-03 05:42:00,5,42,3,1,2023,2.195,2.199,2.195,2.198,41131.0
2023-01-03 05:43:00,5,43,3,1,2023,2.197,2.198,2.196,2.197,17534.0
2023-01-03 05:44:00,5,44,3,1,2023,2.197,2.198,2.196,2.198,15421.0
2023-01-03 05:45:00,5,45,3,1,2023,2.198,2.198,2.195,2.196,10881.0
2023-01-03 05:46:00,5,46,3,1,2023,2.195,2.198,2.195,2.198,18519.0
2023-01-03 05:47:00,5,47,3,1,2023,2.197,2.199,2.197,2.199,10588.0
2023-01-03 05:48:00,5,48,3,1,2023,2.199,2.208,2.198,2.207,233287.0
2023-01-03 05:49:00,5,49,3,1,2023,2.208,2.213,2.207,2.212,124493.0
2023-01-03 05:50:00,5,50,3,1,2023,2.211,2.212,2.205,2.206,88940.0
2023-01-03 05:51:00,5,51,3,1,2023,2.206,2.208,2.205,2.208,32754.0
2023-01-03 05:52:00,5,52,3,1,2023,2.208,2.208,2.202,2.202,56821.0
2023-01-03 05:53:00,5,53,3,1,2023,2.202,2.203,2.195,2.199,167558.0
2023-01-03 05:54:00,5,54,3,1,2023,2.199,2.2,2.197,2.199,61364.0
2023-01-03 05:55:00,5,55,3,1,2023,2.198,2.199,2.192,2.193,49710.0
2023-01-03 05:56:00,5,56,3,1,2023,2.192,2.195,2.19,2.194,110863.0
2023-01-03 05:57:00,5,57,3,1,2023,2.194,2.196,2.193,2.193,35214.0
2023-01-03 05:58:00,5,58,3,1,2023,2.194,2.194,2.193,2.194,9220.0
2023-01-03 05:59:00,5,59,3,1,2023,2.194,2.196,2.193,2.193,17057.0
2023-01-03 06:00:00,6,0,3,1,2023,2.193,2.195,2.191,2.195,51618.0
2023-01-03 06:01:00,6,1,3,1,2023,2.196,2.198,2.194,2.198,42178.0
2023-01-03 06:02:00,6,2,3,1,2023,2.197,2.201,2.197,2.2,28815.0
2023-01-03 06:03:00,6,3,3,1,2023,2.201,2.205,2.2,2.204,38253.0
2023-01-03 06:04:00,6,4,3,1,2023,2.203,2.206,2.203,2.205,24460.0
2023-01-03 06:05:00,6,5,3,1,2023,2.205,2.208,2.205,2.205,31779.0
2023-01-03 06:06:00,6,6,3,1,2023,2.206,2.206,2.202,2.203,45710.0
2023-01-03 06:07:00,6,7,3,1,2023,2.203,2.205,2.203,2.205,27386.0
2023-01-03 06:08:00,6,8,3,1,2023,2.204,2.206,2.204,2.205,18651.0
2023-01-03 06:09:00,6,9,3,1,2023,2.205,2.21,2.204,2.208,79096.0
2023-01-03 06:10:00,6,10,3,1,2023,2.208,2.208,2.206,2.206,25242.0
2023-01-03 06:11:00,6,11,3,1,2023,2.205,2.206,2.202,2.203,35933.0
2023-01-03 06:12:00,6,12,3,1,2023,2.203,2.206,2.203,2.206,22632.0
2023-01-03 06:13:00,6,13,3,1,2023,2.206,2.207,2.206,2.206,19356.0
2023-01-03 06:14:00,6,14,3,1,2023,2.206,2.209,2.206,2.209,23964.0
2023-01-03 06:15:00,6,15,3,1,2023,2.208,2.208,2.205,2.207,48725.0
2023-01-03 06:16:00,6,16,3,1,2023,2.207,2.207,2.205,2.206,63691.0
2023-01-03 06:17:00,6,17,3,1,2023,2.206,2.208,2.205,2.207,21386.0
2023-01-03 06:18:00,6,18,3,1,2023,2.206,2.208,2.206,2.207,16506.0
2023-01-03 06:19:00,6,19,3,1,2023,2.207,2.208,2.206,2.208,16621.0
2023-01-03 06:20:00,6,20,3,1,2023,2.208,2.208,2.201,2.202,47355.0
2023-01-03 06:21:00,6,21,3,1,2023,2.203,2.204,2.201,2.204,39477.0
2023-01-03 06:22:00,6,22,3,1,2023,2.203,2.205,2.201,2.205,28035.0
2023-01-03 06:23:00,6,23,3,1,2023,2.205,2.205,2.2,2.201,25751.0
2023-01-03 06:24:00,6,24,3,1,2023,2.201,2.201,2.198,2.2,72810.0
2023-01-03 06:25:00,6,25,3,1,2023,2.199,2.204,2.199,2.203,36629.0
2023-01-03 06:26:00,6,26,3,1,2023,2.203,2.205,2.203,2.205,8685.0
2023-01-03 06:27:00,6,27,3,1,2023,2.204,2.206,2.203,2.206,25378.0
2023-01-03 06:28:00,6,28,3,1,2023,2.206,2.206,2.204,2.205,5948.0
2023-01-03 06:29:00,6,29,3,1,2023,2.205,2.205,2.202,2.203,16491.0
2023-01-03 06:30:00,6,30,3,1,2023,2.202,2.203,2.2,2.202,38079.0
2023-01-03 06:31:00,6,31,3,1,2023,2.203,2.204,2.202,2.204,22015.0
2023-01-03 06:32:00,6,32,3,1,2023,2.203,2.204,2.202,2.203,17679.0
