OpenTime,hour,minute,day,month,year,open,high,low,close,volume
2023-01-03 05:30:00,5,30,3,1,2023,1.313,1.314,1.312,1.314,96427.0
2023-01-03 05:31:00,5,31,3,1,2023,1.313,1.315,1.313,1.314,93302.0
2023-01-03 05:32:00,5,32,3,1,2023,1.314,1.315,1.313,1.315,125731.0
2023-01-03 05:33:00,5,33,3,1,2023,1.315,1.315,1.313,1.313,36629.0
2023-01-03 05:34:00,5,34,3,1,2023,1.313,1.314,1.312,1.313,50556.0
2023-01-03 05:35:00,5,35,3,1,2023,1.312,1.313,1.311,1.313,71600.0
2023-01-03 05:36:00,5,36,3,1,2023,1.314,1.314,1.311,1.314,90006.0
2023-01-03 05:37:00,5,37,3,1,2023,1.313,1.314,1.312,1.314,37568.0
2023-01-03 05:38:00,5,38,3,1,2023,1.314,1.314,1.312,1.314,37656.0
2023-01-03 05:39:00,5,39,3,1,2023,1.313,1.314,1.313,1.313,9605.0
2023-01-03 05:40:00,5,40,3,1,2023,1.313,1.314,1.313,1.313,40695.0
2023-01-03 05:41:00,5,41,3,1,2023,1.313,1.314,1.312,1.313,33688.0
2023-01-03 05:42:00,5,42,3,1,2023,1.314,1.315,1.313,1.313,33242.0
2023-01-03 05:43:00,5,43,3,1,2023,1.313,1.314,1.313,1.314,21563.0
2023-01-03 05:44:00,5,44,3,1,2023,1.313,1.315,1.313,1.315,25211.0
2023-01-03 05:45:00,5,45,3,1,2023,1.314,1.315,1.314,1.314,9262.0
2023-01-03 05:46:00,5,46,3,1,2023,1.315,1.315,1.314,1.314,2593.0
2023-01-03 05:47:00,5,47,3,1,2023,1.315,1.316,1.314,1.315,22201.0
2023-01-03 05:48:00,5,48,3,1,2023,1.316,1.316,1.315,1.315,2081.0
2023-01-03 05:49:00,5,49,3,1,2023,1.315,1.316,1.315,1.315,8672.0
2023-01-03 05:50:00,5,50,3,1,2023,1.314,1.315,1.312,1.313,47828.0
2023-01-03 05:51:00,5,51,3,1,2023,1.313,1.313,1.312,1.313,229.0
2023-01-03 05:52:00,5,52,3,1,2023,1.312,1.313,1.311,1.311,37199.0
2023-01-03 05:53:00,5,53,3,1,2023,1.312,1.312,1.309,1.311,50135.0
2023-01-03 05:54:00,5,54,3,1,2023,1.311,1.311,1.31,1.311,435.0
2023-01-03 05:55:00,5,55,3,1,2023,1.31,1.311,1.309,1.31,29029.0
2023-01-03 05:56:00,5,56,3,1,2023,1.309,1.311,1.309,1.309,65723.0
2023-01-03 05:57:00,5,57,3,1,2023,1.309,1.31,1.309,1.31,1765.0
2023-01-03 05:58:00,5,58,3,1,2023,1.309,1.31,1.309,1.309,5263.0
2023-01-03 05:59:00,5,59,3,1,2023,1.309,1.31,1.309,1.309,1817.0
2023-01-03 06:00:00,6,0,3,1,2023,1.31,1.31,1.309,1.31,22858.0
2023-01-03 06:01:00,6,1,3,1,2023,1.31,1.311,1.31,1.31,5869.0
2023-01-03 06:02:00,6,2,3,1,2023,1.31,1.311,1.31,1.311,30747.0
2023-01-03 06:03:00,6,3,3,1,2023,1.312,1.312,1.311,1.311,1940.0
2023-01-03 06:04:00,6,4,3,1,2023,1.312,1.313,1.311,1.312,93546.0
2023-01-03 06:05:00,6,5,3,1,2023,1.312,1.313,1.311,1.312,27151.0
2023-01-03 06:06:00,6,6,3,1,2023,1.313,1.313,1.311,1.312,24139.0
2023-01-03 06:07:00,6,7,3,1,2023,1.312,1.313,1.311,1.313,69395.0
2023-01-03 06:08:00,6,8,3,1,2023,1.313,1.313,1.312,1.312,22474.0
2023-01-03 06:09:00,6,9,3,1,2023,1.312,1.313,1.311,1.311,20817.0
2023-01-03 06:10:00,6,10,3,1,2023,1.312,1.313,1.311,1.312,25162.0
2023-01-03 06:11:00,6,11,3,1,2023,1.312,1.312,1.311,1.312,47208.0
2023-01-03 06:12:00,6,12,3,1,2023,1.312,1.313,1.312,1.312,26922.0
2023-01-03 06:13:00,6,13,3,1,2023,1.312,1.313,1.312,1.313,28563.0
2023-01-03 06:14:00,6,14,3,1,2023,1.313,1.313,1.312,1.312,12164.0
2023-01-03 06:15:00,6,15,3,1,2023,1.313,1.314,1.312,1.314,85901.0
2023-01-03 06:16:00,6,16,3,1,2023,1.314,1.317,1.314,1.316,27692.0
2023-01-03 06:17:00,6,17,3,1,2023,1.316,1.317,1.316,1.317,4000.0
2023-01-03 06:18:00,6,18,3,1,2023,1.316,1.318,1.316,1.318,10776.0
2023-01-03 06:19:00,6,19,3,1,2023,1.317,1.318,1.317,1.317,2964.0
2023-01-03 06:20:00,6,20,3,1,2023,1.318,1.318,1.315,1.316,36971.0
2023-01-03 06:21:00,6,21,3,1,2023,1.316,1.317,1.315,1.316,59076.0
2023-01-03 06:22:00,6,22,3,1,2023,1.316,1.317,1.316,1.317,19710.0
2023-01-03 06:23:00,6,23,3,1,2023,1.316,1.317,1.316,1.316,18194.0
2023-01-03 06:24:00,6,24,3,1,2023,1.315,1.316,1.315,1.316,6476.0
2023-01-03 06:25:00,6,25,3,1,2023,1.315,1.316,1.315,1.316,3422.0
2023-01-03 06:26:00,6,26,3,1,2023,1.315,1.317,1.315,1.316,27273.0
2023-01-03 06:27:00,6,27,3,1,2023,1.316,1.318,1.316,1.317,8658.0
2023-01-03 06:28:00,6,28,3,1,2023,1.318,1.318,1.317,1.318,4543.0
2023-01-03 06:29:00,6,29,3,1,2023,1.318,1.318,1.316,1.316,15833.0
2023-01-03 06:30:00,6,30,3,1,2023,1.316,1.317,1.315,1.317,62987.0
2023-01-03 06:31:00,6,31,3,1,2023,1.316,1.317,1.316,1.316,5086.0
2023-01-03 06:32:00,6,32,3,1,2023,1.316,1.317,1.316,1.316,1151.0
2023-01-03 06:33:00,6,33,3,1,2023,1.316,1.317,1.316,1.317,3208.0
2023-01-03 06:34:00,6,34,3,1,2023,1.316,1.318,1.316,1.317,8937.0
2023-01-03 06:35:00,6,35,3,1,2023,1.317,1.318,1.316,1.317,14480.0
2023-01-03 06:36:00,6,36,3,1,2023,1.316,1.317,1.316,1.317,44313.0
2023-01-03 06:37:00,6,37,3,1,2023,1.316,1.317,1.316,1.317,2060.0
2023-01-03 06:38:00,6,38,3,1,2023,1.317,1.317,1.316,1.316,25846.0
2023-01-03 06:39:00,6,39,3,1,2023,1.316,1.316,1.315,1.315,2877.0
2023-01-03 06:40:00,6,40,3,1,2023,1.315,1.316,1.315,1.316,5961.0
2023-01-03 06:41:00,6,41,3,1,2023,1.316,1.317,1.315,1.316,18098.0
2023-01-03 06:42:00,6,42,3,1,2023,1.315,1.316,1.315,1.315,2765.0
2023-01-03 06:43:00,6,43,3,1,2023,1.316,1.317,1.316,1.316,14980.0
2023-01-03 06:44:00,6,44,3,1,2023,1.317,1.317,1.316,1.316,15925.0
2023-01-03 06:45:00,6,45,3,1,2023,1.316,1.317,1.315,1.316,14719.0
2023-01-03 06:46:00,6,46,3,1,2023,1.316,1.316,1.315,1.316,15383.0
2023-01-03 06:47:00,6,47,3,1,2023,1.316,1.317,1.316,1.316,1840.0
2023-01-03 06:48:00,6,48,3,1,2023,1.316,1.316,1.315,1.315,11282.0
2023-01-03 06:49:00,6,49,3,1,2023,1.316,1.316,1.313,1.313,54390.0
2023-01-03 06:50:00,6,50,3,1,2023,1.313,1.313,1.311,1.312,94745.0
2023-01-03 06:51:00,6,51,3,1,2023,1.312,1.312,1.31,1.311,67688.0
2023-01-03 06:52:00,6,52,3,1,2023,1.311,1.311,1.31,1.31,22102.0
2023-01-03 06:53:00,6,53,3,1,2023,1.31,1.312,1.31,1.311,26929.0
2023-01-03 06:54:00,6,54,3,1,2023,1.31,1.311,1.306,1.308,161065.0
2023-01-03 06:55:00,6,55,3,1,2023,1.308,1.309,1.308,1.309,38636.0
2023-01-03 06:56:00,6,56,3,1,2023,1.309,1.31,1.309,1.31,3601.0
2023-01-03 06:57:00,6,57,3,1,2023,1.31,1.31,1.309,1.31,4503.0
2023-01-03 06:58:00,6,58,3,1,2023,1.31,1.31,1.307,1.308,27923.0
2023-01-03 06:59:00,6,59,3,1,2023,1.308,1.309,1.307,1.309,13901.0
2023-01-03 07:00:00,7,0,3,1,2023,1.308,1.308,1.306,1.308,44227.0
2023-01-03 07:01:00,7,1,3,1,2023,1.308,1.308,1.307,1.307,30651.0
2023-01-03 07:02:00,7,2,3,1,2023,1.308,1.309,1.307,1.309,19233.0
2023-01-03 07:03:00,7,3,3,1,2023,1.308,1.31,1.308,1.31,19562.0
2023-01-03 07:04:00,7,4,3,1,2023,1.31,1.312,1.31,1.31,81168.0
2023-01-03 07:05:00,7,5,3,1,2023,1.311,1.311,1.309,1.309,31592.0
2023-01-03 07:06:00,7,6,3,1,2023,1.31,1.31,1.309,1.309,3181.0
2023-01-03 07:07:00,7,7,3,1,2023,1.31,1.31,1.309,1.309,1356.0
2023-01-03 07:08:00,7,8,3,1,2023,1.31,1.31,1.308,1.308,35666.0
2023-01-03 07:09:00,7,9,3,1,2023,1.309,1.309,1.307,1.307,35370.0
2023-01-03 07:10:00,7,10,3,1,2023,1.307,1.308,1.307,1.308,20348.0
2023-01-03 07:11:00,7,11,3,1,2023,1.308,1.308,1.307,1.308,24729.0
2023-01-03 07:12:00,7,12,3,1,2023,1.309,1.31,1.308,1.308,29524.0
2023-01-03 07:13:00,7,13,3,1,2023,1.308,1.308,1.307,1.307,21587.0
2023-01-03 07:14:00,7,14,3,1,2023,1.308,1.309,1.308,1.308,15161.0
2023-01-03 07:15:00,7,15,3,1,2023,1.308,1.31,1.308,1.309,35410.0
2023-01-03 07:16:00,7,16,3,1,2023,1.309,1.31,1.308,1.309,8458.0
2023-01-03 07:17:00,7,17,3,1,2023,1.308,1.309,1.308,1.308,2922.0
2023-01-03 07:18:00,7,18,3,1,2023,1.308,1.309,1.308,1.308,8306.0
2023-01-03 07:19:00,7,19,3,1,2023,1.308,1.308,1.307,1.307,20083.0
2023-01-03 07:20:00,7,20,3,1,2023,1.307,1.308,1.306,1.308,16648.0
2023-01-03 07:21:00,7,21,3,1,2023,1.307,1.307,1.306,1.307,14486.0
2023-01-03 07:22:00,7,22,3,1,2023,1.307,1.308,1.307,1.307,3692.0
2023-01-03 07:23:00,7,23,3,1,2023,1.307,1.308,1.307,1.307,3568.0
2023-01-03 07:24:00,7,24,3,1,2023,1.307,1.308,1.307,1.308,30894.0
2023-01-03 07:25:00,7,25,3,1,2023,1.307,1.308,1.306,1.307,18581.0
