s,liq_amount,S,q,funding_rate,time
FLOWUSDT,27614.7658,BUY,8,-0.102,2023-01-03 13:55:11.698439+05:30
1000LUNCUSDT,13080.386,SELL,6,-0.005,2023-01-03 13:57:05.669808+05:30
1000LUNCUSDT,12662.3907243,SELL,15,-0.005,2023-01-03 14:03:01.339200+05:30
RLCUSDT,14539.79679,SELL,1,-0.14,2023-01-03 14:08:56.123073+05:30
BTCUSDT,13655.2052,SELL,4,0.0068,2023-01-03 14:13:46.429887+05:30
GRTUSDT,15889.72824,BUY,4,0.01,2023-01-03 14:46:23.226821+05:30
NEARUSDT,28605.497,BUY,2,-0.0016,2023-01-03 14:48:49.947302+05:30
NEARUSDT,16613.179,BUY,1,-0.0016,2023-01-03 14:50:10.434957+05:30
ATOMUSDT,10314.36996,BUY,9,0.0071,2023-01-03 14:52:14.597071+05:30
ATOMUSDT,11813.87877,BUY,3,0.0071,2023-01-03 14:52:17.663323+05:30
NEARUSDT,51885.746,BUY,8,-0.0016,2023-01-03 14:55:52.498589+05:30
KAVAUSDT,13933.851,BUY,7,-0.0002,2023-01-03 15:23:09.022557+05:30
MASKUSDT,13876.733,BUY,17,0.0065,2023-01-03 15:42:01.585117+05:30
ETHUSDT,10463.422080000002,BUY,1,0.0005,2023-01-03 15:42:06.497082+05:30
GRTUSDT,11035.91607,BUY,2,0.01,2023-01-03 15:49:36.934642+05:30
JASMYUSDT,10708.780664,BUY,8,-0.5253,2023-01-03 16:35:27.361391+05:30
BTCUSDT,11928.1446,BUY,5,0.005,2023-01-03 20:11:07.401126+05:30
BTCUSDT,25830.3961,BUY,1,0.005,2023-01-03 20:11:58.827537+05:30
BTCUSDT,12066.7252,BUY,4,0.005,2023-01-03 20:16:43.233837+05:30
ETHUSDT,12824.85531,SELL,4,0.0017,2023-01-03 20:22:57.501786+05:30
ETHUSDT,14276.61366,SELL,5,0.0017,2023-01-03 20:23:03.198289+05:30
DYDXUSDT,10167.1584,SELL,7,0.01,2023-01-03 20:28:15.097705+05:30
ETHUSDT,19514.20792,SELL,2,0.0017,2023-01-03 20:28:26.586190+05:30
BTCUSDT,11774.1158,SELL,5,0.005,2023-01-03 20:28:34.730783+05:30
BTCUSDT,10048.0982,SELL,3,0.005,2023-01-03 20:28:37.900832+05:30
EOSUSDT,12852.8576,SELL,1,0.01,2023-01-03 20:28:38.057308+05:30
RLCUSDT,11890.03503,SELL,2,-0.1836,2023-01-03 20:43:42.227592+05:30
SOLBUSD,18010.3764,BUY,11,-0.2731,2023-01-03 20:45:54.689925+05:30
KSMUSDT,26466.084400000003,BUY,1,-0.0102,2023-01-03 20:47:00.317430+05:30
BTCUSDT,11217.6696,SELL,4,0.005,2023-01-03 20:48:33.553647+05:30
BTCUSDT,10773.7128,SELL,1,0.005,2023-01-03 20:48:34.619348+05:30
BTCUSDT,31191.24916,SELL,4,0.005,2023-01-03 20:48:44.599239+05:30
BTCUSDT,10071.2352,SELL,1,0.005,2023-01-03 20:49:46.503567+05:30
BTCUSDT,13295.8078,SELL,6,0.005,2023-01-03 21:00:56.710358+05:30
ETHUSDT,99377.7928,SELL,1,0.0017,2023-01-03 21:02:09.543163+05:30
BTCUSDT,25886.7116,SELL,5,0.005,2023-01-03 21:03:34.297426+05:30
BTCUSDT,28827.025,SELL,1,0.005,2023-01-03 21:03:35.521866+05:30
